ts	elapsed	rss_kb	threads	fds	tcp_est	crawled_bytes	discovered_bytes	disk_free_mb	rss_kb_0	rss_kb_1
1789628673	5840	4313976	201	89278	17200	9808436	124010436	91048	2130060	2183916
1789628704	5871	4303052	201	87921	15841	9900372	124854566	91052	2109564	2193488
1789628734	5901	4300980	201	89191	17233	9942533	125616405	91051	2121572	2179408
1789628765	5932	4294712	201	88720	16583	9991828	126183797	91049	2101340	2193372
1789628795	5962	4327488	201	88891	15477	10079091	126736835	91044	2127380	2200108
1789628826	5993	4308828	201	87936	15344	10104334	127193441	91113	2103976	2204852
1789628856	6023	4309796	201	88193	14532	10175033	127823750	91108	2108492	2201304
1789628886	6053	4300900	201	87576	15383	10217657	128397199	91116	2105292	2195608
1789628917	6084	4312596	201	86902	14402	10283904	129161388	91118	2112444	2200152
1789628947	6114	4290204	201	87416	15714	10333318	129767740	91122	2098164	2192040
1789628977	6144	4278768	201	88643	16924	10376681	130455745	91118	2098900	2179868
1789629008	6175	4342804	201	89916	17472	10419544	131078643	91111	2125908	2216896
1789629038	6205	4327956	201	89060	17785	10484986	131839414	91115	2117420	2210536
1789629069	6236	4349340	201	89640	17836	10552421	132364296	91117	2141004	2208336
1789629099	6266	4335220	201	89152	17638	10596493	133079121	91116	2118764	2216456
1789629129	6296	4315500	201	87315	17049	10645845	133872758	91123	2111000	2204500
1789629160	6327	4331248	201	88668	17606	10711249	134266846	91132	2136024	2195224
1789629190	6357	4309884	201	89251	16517	10752973	135000598	91120	2110100	2199784
1789629220	6387	4344988	201	89288	16936	10827125	135423645	91120	2147688	2197300
1789629251	6418	4300360	201	88583	16298	10859801	135969012	91119	2109348	2191012
1789629281	6448	4334676	201	89583	17045	10933851	136446598	91095	2130192	2204484
1789629312	6479	4304916	201	89240	16440	10995433	137220098	91092	2113336	2191580
1789629342	6509	4307496	201	89447	16259	11069200	137745726	91142	2114512	2192984
1789629373	6540	4353244	201	89079	15397	11134704	138414657	91123	2142028	2211216
1789629403	6570	4369472	201	88977	16041	11183912	139154191	91123	2163432	2206040
1789629434	6601	4395576	201	89254	16741	11271115	139741613	91106	2152520	2243056
1789629464	6631	4351696	201	89586	16653	11320608	140301914	91090	2123744	2227952
1789629494	6661	4355628	201	89580	16833	11408466	140872607	91092	2146572	2209056
1789629525	6692	4342840	201	89288	16179	11408466	141440972	91081	2127624	2215216
1789629555	6722	4378080	201	89314	15854	11508219	142143827	91080	2139248	2238832
1789629586	6753	4318228	201	89629	16836	11545155	142740606	91089	2120480	2197748
1789629616	6783	4321156	201	88195	15475	11594315	143536513	91086	2119008	2202148
1789629647	6814	4340840	201	88381	16295	11678290	144122257	91087	2113068	2227772
1789629677	6844	4364232	201	89382	16448	11726837	144716524	91083	2120680	2243552
1789629707	6874	4314968	201	89694	17592	11813726	145414045	91084	2118032	2196936
1789629738	6905	4324492	201	89042	16845	11862971	146000638	91083	2127804	2196688
1789629768	6935	4335496	201	88943	17054	11927285	146581899	91083	2112764	2222732
1789629799	6966	4338224	201	88820	17307	11972194	147244390	91089	2144600	2193624
1789629829	6996	4380464	201	89032	16820	12021549	147916850	91087	2150312	2230152
1789629860	7027	4327812	201	87473	16959	12078583	148400858	91101	2107840	2219972
1789629890	7057	4351596	201	88636	16313	12153164	149176227	91090	2130336	2221260
1789629921	7088	4310760	201	89382	17504	12194734	149609817	91094	2107348	2203412
1789629951	7118	4328960	201	89333	17383	12261840	150355269	91094	2106788	2222172
1789629981	7148	4300832	201	89574	18106	12329720	151062598	91095	2104160	2196672
1789630012	7179	4304752	201	89338	17415	12374859	151627392	91105	2113264	2191488
1789630042	7209	4324952	201	87308	16537	12449383	152256835	91105	2106280	2218672
1789630073	7240	4364928	201	88458	17077	12519834	152755334	91104	2115816	2249112
1789630103	7270	4301612	201	88851	16199	12591251	153343998	91101	2108736	2192876
1789630134	7301	4311168	201	87811	16153	12661352	153991277	91090	2121196	2189972
1789630164	7331	4316936	201	87347	16616	12729829	154528229	91095	2114648	2202288
1789630194	7361	4313416	201	88839	16697	12794531	155125634	91071	2122608	2190808
1789630225	7392	4345468	201	89048	16758	12864920	155714545	91056	2134396	2211072
1789630255	7422	4331492	201	88827	16865	12929597	156305351	91056	2122524	2208968
1789630285	7452	4335264	201	89019	16276	12978710	157052003	91040	2129724	2205540
1789630316	7483	4335824	201	89340	16722	13042613	157594558	91025	2133940	2201884
1789630346	7513	4340096	201	88252	16598	13067189	158148039	91037	2147572	2192524
1789630377	7544	4321572	201	89218	18234	13179169	158737060	91009	2125672	2195900
1789630407	7574	4314496	201	88898	17257	13229046	159393941	91002	2121812	2192684
1789630438	7605	4397840	201	89203	17361	13292110	160081113	90995	2204012	2193828
1789630468	7635	4361048	201	89250	16888	13354229	160977182	90996	2149476	2211572
1789630499	7666	4312700	201	89843	16943	13379004	161480091	90996	2118456	2194244
1789630529	7696	4330744	201	88877	16713	13432036	162169215	91003	2118464	2212280
1789630560	7727	4314800	201	88294	18449	13481872	162624769	91015	2117448	2197352
1789630590	7757	4341772	201	89795	18194	13571036	163122006	91004	2140816	2200956
1789630621	7788	4320784	201	89284	18898	13620230	163858604	91004	2118000	2202784
1789630651	7818	4345272	201	90414	18189	13706343	164515754	90996	2138012	2207260
1789630682	7849	4319268	201	89125	17941	13755268	165468162	91003	2118124	2201144
1789630712	7879	4384364	201	90046	17983	13823164	165880183	90997	2181352	2203012
1789630742	7909	4335664	201	89580	18939	13870118	166520681	91009	2118852	2216812
1789630773	7940	4337892	201	89180	18457	13945368	167033712	91006	2122324	2215568
1789630803	7970	4337696	201	90406	17374	13985445	167724308	91002	2136092	2201604
1789630834	8001	4353584	201	89026	16659	14060219	168300669	91000	2146224	2207360
1789630864	8031	4330760	201	88107	16968	14148718	168826743	91020	2128216	2202544
1789630895	8062	4351728	201	89365	15900	14172945	169569774	90999	2141052	2210676
1789630925	8092	4333804	201	90428	17867	14215648	170045263	91003	2121676	2212128
1789630956	8123	4373968	201	88279	16876	14308214	170761945	91007	2133832	2240136
1789630986	8153	4360444	201	88947	17707	14354266	171395836	91005	2127848	2232596
1789631017	8184	4339356	201	88062	16628	14445462	171984368	91008	2122528	2216828
1789631047	8214	4342600	201	89328	17939	14512803	172495294	91002	2125996	2216604
1789631077	8244	4368724	201	90265	17380	14558954	173022321	90981	2137576	2231148
1789631108	8275	4361408	201	90598	18836	14623216	173704086	90980	2160068	2201340
1789631139	8306	4364712	201	88856	17501	14687861	174420222	90968	2139588	2225124
1789631169	8336	4410052	201	90097	17325	14779297	175102844	90956	2200328	2209724
1789631199	8366	4360568	201	90342	17720	14822580	175920983	90945	2138036	2222532
1789631230	8397	4360516	201	89779	17065	14889809	176391993	91008	2154312	2206204
1789631260	8427	4368700	201	89375	18101	14932849	177038786	90983	2155452	2213248
1789631291	8458	4397908	201	89537	18681	15006771	177733359	90982	2183860	2214048
1789631321	8488	4341940	201	89368	18913	15091862	178201192	90971	2135156	2206784
1789631352	8519	4436812	201	89514	17318	15141034	178812779	90965	2183508	2253304
1789631382	8549	4429896	201	89803	17931	15210824	179402281	90964	2178916	2250980
1789631413	8580	4378172	201	89628	17502	15260972	180008940	90967	2138072	2240100
1789631443	8610	4433728	201	89404	17435	15352328	180641534	90964	2170300	2263428
1789631474	8641	4364844	201	87602	17848	15402102	181555767	90985	2140952	2223892
1789631504	8671	4332072	201	90065	18498	15472775	181967800	90976	2125288	2206784
1789631534	8701	4368624	201	89767	18117	15515546	182565074	90974	2155236	2213388
1789631565	8732	4357824	201	90853	18703	15608128	183184763	90969	2141308	2216516
1789631595	8762	4358092	201	90398	18446	15656265	183744338	90973	2139204	2218888
