ts	elapsed	proc_cpu_pct	main_cpu_pct	lag_max_ms	lag_p50_ms	dl_active	dl_slots	dl_transferring	scraper_queued	scraper_active_kb	gc_max_ms	gc_total_ms	frontier	pqueues	robots_cached	robots_inflight	dns_cached	crawled	discovered	dupe_skipped	rss_mb	requests	responses	exceptions
1789627039	4205	93.9	93.5	8394	2190	3190	7983	1029	0	20928	3457	7625	3000212	39835	49812	1460	117884	110936	3931941	3530978	1975	383380	281848	190390
1789627069	4234	95.0	94.6	7413	2252	1717	6331	618	0	28665	3140	8024	3000179	40000	50000	816	118321	111802	3955440	3581952	1990	385979	284258	192363
1789627099	4264	92.6	91.9	5982	1941	4161	9492	973	0	3002	3272	7964	2999191	39760	49844	1349	118670	112589	3984525	3619627	1969	390115	285937	193910
1789627126	4292	94.4	93.7	6550	4502	3238	8314	1989	0	2780	3494	7992	2999402	39731	49939	1142	119090	113324	4009387	3657948	1968	392191	287310	196178
1789627163	4329	95.6	95.4	9021	2754	3023	10022	1241	0	59391	2946	10490	3000315	40000	49920	1284	119872	114428	4033636	3718887	1997	394845	290111	196818
1789627189	4355	94.6	94.1	6173	1384	2718	7245	904	0	27579	3318	7705	3000301	39996	50000	1373	120426	115127	4049261	3749982	1980	397082	291987	198589
1789627220	4385	93.0	92.7	6070	2447	3986	8913	346	0	27729	3087	7824	3000219	40000	49865	1520	120607	116039	4069902	3789360	1978	400228	294301	199674
1789627250	4416	95.9	94.6	6002	5186	3750	7598	2104	0	2642	3135	10828	3000027	40000	50000	1378	120964	116792	4087276	3822867	1970	403770	296338	200727
1789627277	4443	95.2	94.7	5157	3274	3428	9187	1126	0	31759	3148	7759	3000502	40000	50000	1559	122098	117648	4106150	3856696	1982	406232	298695	201828
1789627314	4480	96.6	96.4	7595	3420	981	6770	162	0	80587	3029	7762	3000075	40000	50000	544	122316	118981	4158077	3904386	2021	408708	302124	202602
1789627339	4504	94.7	94.2	7742	3747	2334	8796	259	0	35423	3084	6787	3000535	40000	50000	1694	123059	119529	4182532	3924348	1985	411118	304197	203203
